STATES,AREA (km2) ,Population
Abia State,6320,2845380
Adamawa State,36917,3178950
Akwa Ibom State,7081,3178950
Anambra State,4844,4177828
Bauchi State,45837,4653066
Bayelsa State,10773,1704515
Benue State,34059,4253641
Borno State,70898,4171104
Cross River,20156,2892988
Delta State,17698,4112445
Ebonyi State,5670,2176947
Edo State,17802,3233366
Ekiti State,6353,2398957
Enugu State,7161,3267837
FCT,7315,1405201
Gombe State,18768,2365040
Imo State,5530,3927563
Jigawa State,23154,4361002
Kaduna State,46053,6113503
Kano State,20131,9401288
Katsina State,24192,5801584
Kebbi State,36800,3256541
Kogi State,29833,3314043
Kwara State,36825,2365353
Lagos State,3345,9113605
Nasarawa State,27117,1869377
Niger State,76363,3954772
Ogun State,16762,3751140
Ondo State,15500,3460877
Osun State,9251,3416959
Oyo State,28454,5580894
Plateau State,30913,3206531
Rivers State,11077,5198605
Sokoto State,25973,3702676
Taraba State,54473,2294800
Yobe State,45502,2321339
Zamfara State,39762,3278873
